name;length;10;20;30;40;50
>random_seq_from_cds__NO_58661;85;36;38;38;48;50;
>hsa-mir-1324 MI0006657 Homo sapiens miR-1324 stem-loop;96;24;36;51;65;73;
>hsa-mir-632 MI0003647 Homo sapiens miR-632 stem-loop;94;34;36;38;47;56;
>random_seq_from_cds__NO_16826;84;39;40;43;46;48;
>random_seq_from_cds__NO_67131;80;29;29;32;35;39;
>random_seq_from_cds__NO_69796;78;39;43;44;47;46;
>hsa-mir-1295a MI0006357 Homo sapiens miR-1295a stem-loop;79;9;9;9;12;14;
>random_seq_from_cds__NO_39927;86;47;47;55;62;69;
>random_seq_from_cds__NO_38640;84;32;33;33;36;42;
>random_seq_from_cds__NO_39976;85;45;48;51;54;57;
>hsa-mir-137 MI0000454 Homo sapiens miR-137 stem-loop;102;13;16;17;22;24;
>random_seq_from_cds__NO_61424;71;18;16;18;21;26;
>random_seq_from_cds__NO_24476;75;37;39;40;45;51;
>hsa-mir-4445 MI0016788 Homo sapiens miR-4445 stem-loop;70;5;5;6;7;8;
>hsa-mir-4700 MI0017333 Homo sapiens miR-4700 stem-loop;74;5;7;9;16;22;
>random_seq_from_cds__NO_34292;90;56;62;70;78;78;
>hsa-mir-193b MI0003137 Homo sapiens miR-193b stem-loop;83;7;8;12;19;26;
>hsa-mir-761 MI0003941 Homo sapiens miR-761 stem-loop;59;4;4;5;7;7;
>random_seq_from_cds__NO_25799;80;31;34;39;47;50;
>hsa-mir-3915 MI0016420 Homo sapiens miR-3915 stem-loop;97;1;1;1;5;7;
>random_seq_from_cds__NO_5793;79;38;38;40;47;43;
>hsa-mir-4509-2 MI0016874 Homo sapiens miR-4509-2 stem-loop;94;4;4;5;5;7;
>hsa-mir-4287 MI0015895 Homo sapiens miR-4287 stem-loop;78;20;20;20;33;38;
>random_seq_from_cds__NO_50763;71;29;32;30;32;38;
>random_seq_from_cds__NO_27974;72;36;35;35;41;41;
>random_seq_from_cds__NO_50767;75;37;40;40;39;44;
>random_seq_from_cds__NO_35149;82;40;41;39;44;50;
>hsa-mir-6500 MI0022211 Homo sapiens miR-6500 stem-loop;86;7;7;8;13;21;
>hsa-mir-548o MI0006402 Homo sapiens miR-548o stem-loop;114;70;72;70;74;77;
>random_seq_from_cds__NO_36441;85;24;27;28;39;36;
>random_seq_from_cds__NO_29703;81;30;35;37;43;47;
>random_seq_from_cds__NO_24493;78;43;42;45;47;50;
>random_seq_from_cds__NO_69360;72;29;28;29;37;33;
>hsa-mir-148a MI0000253 Homo sapiens miR-148a stem-loop;68;14;15;14;15;19;
>random_seq_from_cds__NO_24496;69;31;32;33;35;37;
>random_seq_from_cds__NO_2247;88;45;47;44;50;59;
>hsa-mir-6503 MI0022215 Homo sapiens miR-6503 stem-loop;86;9;9;9;8;11;
>random_seq_from_cds__NO_69359;72;34;32;31;32;27;
>random_seq_from_cds__NO_47106;71;24;26;29;33;37;
>random_seq_from_cds__NO_72523;69;31;30;33;31;32;
>random_seq_from_cds__NO_60544;74;35;36;38;43;42;
>random_seq_from_cds__NO_70343;81;45;47;47;54;58;
>random_seq_from_cds__NO_56046;86;55;58;63;66;65;
>hsa-mir-3935 MI0016591 Homo sapiens miR-3935 stem-loop;104;50;52;54;55;58;
>random_seq_from_cds__NO_62728;81;27;33;45;48;45;
>random_seq_from_cds__NO_27990;102;62;61;61;65;61;
>random_seq_from_cds__NO_6615;90;51;50;52;61;59;
>random_seq_from_cds__NO_57379;110;56;63;67;74;76;
>hsa-mir-4661 MI0017289 Homo sapiens miR-4661 stem-loop;75;4;4;4;4;5;
>random_seq_from_cds__NO_47587;78;26;28;32;37;43;
>random_seq_from_cds__NO_37307;87;40;42;44;59;60;
>hsa-mir-3144 MI0014169 Homo sapiens miR-3144 stem-loop;79;11;13;11;11;10;
>hsa-mir-301b MI0005568 Homo sapiens miR-301b stem-loop;78;20;21;18;23;25;
>random_seq_from_cds__NO_44078;102;51;49;56;74;76;
>random_seq_from_cds__NO_68415;86;7;8;8;10;10;
>random_seq_from_cds__NO_65388;89;48;47;54;64;67;
>hsa-mir-129-1 MI0000252 Homo sapiens miR-129-1 stem-loop;72;8;8;10;20;23;
>random_seq_from_cds__NO_32462;85;38;41;39;50;55;
>hsa-mir-1303 MI0006370 Homo sapiens miR-1303 stem-loop;86;7;6;6;7;10;
>hsa-mir-1208 MI0006341 Homo sapiens miR-1208 stem-loop;73;32;33;37;37;38;
>random_seq_from_cds__NO_9779;82;28;29;36;46;49;
>random_seq_from_cds__NO_29289;72;35;38;36;39;37;
>random_seq_from_cds__NO_29288;110;65;67;74;70;75;
>random_seq_from_cds__NO_13706;110;69;72;72;75;72;
>hsa-mir-6082 MI0020359 Homo sapiens miR-6082 stem-loop;109;37;40;43;56;69;
>random_seq_from_cds__NO_56433;98;46;50;53;54;62;
>random_seq_from_cds__NO_33798;71;31;31;35;31;34;
>random_seq_from_cds__NO_65381;110;66;65;65;66;66;
>hsa-mir-4442 MI0016785 Homo sapiens miR-4442 stem-loop;67;10;13;14;17;18;
>hsa-mir-4274 MI0015884 Homo sapiens miR-4274 stem-loop;91;50;48;48;45;51;
>random_seq_from_cds__NO_63198;62;23;27;30;31;34;
>hsa-mir-222 MI0000299 Homo sapiens miR-222 stem-loop;110;22;23;28;35;42;
>hsa-mir-4451 MI0016797 Homo sapiens miR-4451 stem-loop;66;7;6;11;14;25;
>hsa-mir-9-1 MI0000466 Homo sapiens miR-9-1 stem-loop;89;8;7;9;11;12;
>hsa-mir-5706 MI0019314 Homo sapiens miR-5706 stem-loop;80;6;6;6;6;8;
>hsa-mir-4697 MI0017330 Homo sapiens miR-4697 stem-loop;78;4;6;7;7;7;
>hsa-mir-376b MI0002466 Homo sapiens miR-376b stem-loop;100;12;14;15;16;21;
>hsa-mir-5096 MI0018004 Homo sapiens miR-5096 stem-loop;70;7;8;10;14;18;
>random_seq_from_cds__NO_20499;75;8;7;8;9;10;
>random_seq_from_cds__NO_67547;83;29;38;42;56;55;
>random_seq_from_cds__NO_21345;81;49;50;53;48;56;
>hsa-mir-1914 MI0008335 Homo sapiens miR-1914 stem-loop;80;12;15;21;25;31;
>hsa-mir-377 MI0000785 Homo sapiens miR-377 stem-loop;69;6;6;6;10;15;
>random_seq_from_cds__NO_52054;90;53;54;54;63;62;
>random_seq_from_cds__NO_23527;84;41;43;42;48;58;
>random_seq_from_cds__NO_55564;100;62;66;67;68;72;
>random_seq_from_cds__NO_55566;86;25;31;41;51;53;
>hsa-mir-4759 MI0017400 Homo sapiens miR-4759 stem-loop;83;6;6;6;7;9;
>random_seq_from_cds__NO_63177;95;30;35;37;42;49;
>random_seq_from_cds__NO_24849;79;35;39;45;47;46;
>hsa-mir-3914-2 MI0016421 Homo sapiens miR-3914-2 stem-loop;95;15;14;15;14;17;
>random_seq_from_cds__NO_66689;92;23;24;29;31;35;
>hsa-mir-4261 MI0015868 Homo sapiens miR-4261 stem-loop;58;11;11;13;21;21;
>hsa-mir-4506 MI0016869 Homo sapiens miR-4506 stem-loop;77;12;12;13;18;27;
>hsa-mir-3614 MI0016004 Homo sapiens miR-3614 stem-loop;86;14;16;16;21;22;
>hsa-mir-4425 MI0016764 Homo sapiens miR-4425 stem-loop;84;4;4;4;4;4;
>random_seq_from_cds__NO_54221;73;33;35;38;35;37;
>hsa-mir-4690 MI0017323 Homo sapiens miR-4690 stem-loop;60;7;8;8;13;16;
>hsa-mir-1257 MI0006391 Homo sapiens miR-1257 stem-loop;117;50;52;65;70;69;
>random_seq_from_cds__NO_8435;88;28;33;34;47;46;
>random_seq_from_cds__NO_31122;87;50;46;49;60;61;
>random_seq_from_cds__NO_55555;86;45;45;52;49;49;
>hsa-mir-4727 MI0017364 Homo sapiens miR-4727 stem-loop;55;6;5;7;9;10;
>random_seq_from_cds__NO_12862;110;28;31;42;58;58;
>hsa-mir-5189 MI0018168 Homo sapiens miR-5189 stem-loop;114;33;38;46;58;70;
>random_seq_from_cds__NO_65352;110;66;65;66;70;68;
>hsa-mir-4485 MI0016846 Homo sapiens miR-4485 stem-loop;57;23;26;29;28;28;
>hsa-mir-485 MI0002469 Homo sapiens miR-485 stem-loop;73;9;8;10;13;15;
>hsa-mir-16-2 MI0000115 Homo sapiens miR-16-2 stem-loop;81;11;13;13;17;21;
>random_seq_from_cds__NO_71627;84;52;54;54;59;62;
>hsa-mir-325 MI0000824 Homo sapiens miR-325 stem-loop;98;33;35;35;52;64;
>hsa-mir-1278 MI0006425 Homo sapiens miR-1278 stem-loop;81;4;4;4;5;6;
>hsa-mir-3938 MI0016594 Homo sapiens miR-3938 stem-loop;103;11;12;11;16;24;
>random_seq_from_cds__NO_33352;110;64;73;75;81;86;
>random_seq_from_cds__NO_23547;80;38;41;42;43;39;
>random_seq_from_cds__NO_6231;90;17;20;24;43;58;
>hsa-mir-4280 MI0015889 Homo sapiens miR-4280 stem-loop;76;11;12;13;13;17;
>hsa-mir-219-1 MI0000296 Homo sapiens miR-219-1 stem-loop;110;17;17;15;19;26;
>hsa-mir-34c MI0000743 Homo sapiens miR-34c stem-loop;77;4;4;5;9;16;
>random_seq_from_cds__NO_64094;89;40;42;43;54;60;
>random_seq_from_cds__NO_67124;80;28;32;39;48;55;
>random_seq_from_cds__NO_69782;100;26;26;30;39;48;
>hsa-mir-30c-2 MI0000254 Homo sapiens miR-30c-2 stem-loop;72;6;5;10;20;28;
>random_seq_from_cds__NO_57793;110;64;70;73;82;75;
>hsa-mir-4654 MI0017282 Homo sapiens miR-4654 stem-loop;76;3;6;6;10;13;
>hsa-mir-770 MI0005118 Homo sapiens miR-770 stem-loop;98;10;12;15;20;19;
>random_seq_from_cds__NO_23538;78;33;37;40;45;51;
>hsa-let-7f-1 MI0000067 Homo sapiens let-7f-1 stem-loop;87;8;9;10;14;15;
>hsa-mir-381 MI0000789 Homo sapiens miR-381 stem-loop;75;6;7;7;12;16;
>random_seq_from_cds__NO_35545;78;23;23;23;32;42;
>random_seq_from_cds__NO_44012;81;21;20;18;25;28;
>hsa-mir-5682 MI0019282 Homo sapiens miR-5682 stem-loop;76;3;3;3;4;6;
>hsa-mir-550a-3 MI0003762 Homo sapiens miR-550a-3 stem-loop;95;16;16;17;19;19;
>hsa-mir-3942 MI0016599 Homo sapiens miR-3942 stem-loop;109;8;8;9;9;14;
>hsa-mir-4479 MI0016838 Homo sapiens miR-4479 stem-loop;71;18;18;15;17;17;
>random_seq_from_cds__NO_68439;81;42;42;42;49;54;
>hsa-mir-3617 MI0016007 Homo sapiens miR-3617 stem-loop;79;9;9;9;13;23;
>hsa-mir-4436a MI0016776 Homo sapiens miR-4436a stem-loop;85;5;6;6;5;6;
>random_seq_from_cds__NO_8872;110;59;63;67;73;77;
>random_seq_from_cds__NO_60957;80;21;24;26;36;47;
>hsa-mir-4657 MI0017285 Homo sapiens miR-4657 stem-loop;53;4;4;5;7;7;
>hsa-mir-4671 MI0017302 Homo sapiens miR-4671 stem-loop;73;4;4;4;4;4;
>random_seq_from_cds__NO_54273;69;11;17;20;33;38;
>hsa-mir-5197 MI0018176 Homo sapiens miR-5197 stem-loop;112;59;58;61;74;73;
>hsa-mir-1273c MI0014171 Homo sapiens miR-1273c stem-loop;77;2;2;3;5;5;
>hsa-mir-143 MI0000459 Homo sapiens miR-143 stem-loop;106;16;15;19;29;35;
>hsa-mir-4793 MI0017440 Homo sapiens miR-4793 stem-loop;87;35;36;33;39;43;
>random_seq_from_cds__NO_67100;80;33;37;42;47;48;
>random_seq_from_cds__NO_35518;84;51;54;50;55;59;
>hsa-mir-4693 MI0017326 Homo sapiens miR-4693 stem-loop;75;5;6;8;10;12;
>random_seq_from_cds__NO_27919;75;30;37;43;41;45;
>hsa-mir-3137 MI0014160 Homo sapiens miR-3137 stem-loop;75;7;9;9;9;9;
>hsa-mir-1976 MI0009986 Homo sapiens miR-1976 stem-loop;52;3;3;3;5;6;
>random_seq_from_cds__NO_55110;110;51;53;56;60;68;
>hsa-mir-4707 MI0017340 Homo sapiens miR-4707 stem-loop;80;9;11;13;17;20;
>hsa-mir-1271 MI0003814 Homo sapiens miR-1271 stem-loop;86;5;6;7;7;10;
>hsa-mir-4535 MI0016903 Homo sapiens miR-4535 stem-loop;59;16;16;15;21;25;
>random_seq_from_cds__NO_32014;87;49;51;53;61;61;
>hsa-mir-4724 MI0017361 Homo sapiens miR-4724 stem-loop;89;17;18;22;25;28;
>random_seq_from_cds__NO_37703;81;38;38;42;46;53;
>hsa-mir-1183 MI0006276 Homo sapiens miR-1183 stem-loop;89;50;49;47;52;57;
>random_seq_from_cds__NO_36859;82;43;41;44;51;50;
>random_seq_from_cds__NO_42303;97;38;43;46;59;72;
>hsa-mir-3667 MI0016068 Homo sapiens miR-3667 stem-loop;74;4;3;3;3;3;
>random_seq_from_cds__NO_43635;87;25;25;28;41;44;
>hsa-mir-637 MI0003652 Homo sapiens miR-637 stem-loop;99;53;58;59;69;71;
>hsa-mir-16-1 MI0000070 Homo sapiens miR-16-1 stem-loop;89;17;19;18;19;23;
>random_seq_from_cds__NO_1897;89;45;52;52;58;65;
>random_seq_from_cds__NO_9386;81;46;45;44;47;58;
>random_seq_from_cds__NO_53444;84;26;31;34;37;43;
>random_seq_from_cds__NO_57802;80;28;25;25;29;40;
>random_seq_from_cds__NO_32505;80;23;25;23;32;37;
>random_seq_from_cds__NO_19997;81;40;39;47;50;53;
>random_seq_from_cds__NO_41469;95;24;26;33;51;64;
>random_seq_from_cds__NO_62388;89;52;56;59;58;64;
>random_seq_from_cds__NO_18665;109;50;61;71;75;79;
>hsa-mir-6124 MI0021258 Homo sapiens miR-6124 stem-loop;85;11;11;14;18;23;
>hsa-mir-489 MI0003124 Homo sapiens miR-489 stem-loop;84;11;10;10;15;16;
>random_seq_from_cds__NO_18661;75;23;28;34;34;38;
>hsa-mir-1261 MI0006396 Homo sapiens miR-1261 stem-loop;82;28;30;33;37;45;
>hsa-mir-1911 MI0008332 Homo sapiens miR-1911 stem-loop;80;19;19;17;24;28;
>hsa-mir-571 MI0003578 Homo sapiens miR-571 stem-loop;96;20;25;33;59;63;
>random_seq_from_cds__NO_4932;81;22;25;27;31;36;
>random_seq_from_cds__NO_48090;67;18;21;24;33;34;
>random_seq_from_cds__NO_18216;81;30;31;33;40;44;
>hsa-mir-4796 MI0017443 Homo sapiens miR-4796 stem-loop;81;5;5;5;5;7;
>random_seq_from_cds__NO_1877;92;46;47;48;66;73;
>hsa-mir-4738 MI0017376 Homo sapiens miR-4738 stem-loop;87;4;4;6;11;16;
>random_seq_from_cds__NO_63227;72;22;27;30;42;41;
>hsa-mir-146b MI0003129 Homo sapiens miR-146b stem-loop;73;8;7;7;13;14;
>hsa-mir-4743 MI0017381 Homo sapiens miR-4743 stem-loop;69;4;5;7;7;13;
>random_seq_from_cds__NO_12917;82;41;41;42;48;52;
>random_seq_from_cds__NO_2721;110;69;71;68;70;74;
>hsa-mir-361 MI0000760 Homo sapiens miR-361 stem-loop;72;4;4;4;5;7;
>random_seq_from_cds__NO_27160;106;67;62;61;64;63;
>random_seq_from_cds__NO_49391;110;21;24;28;43;63;
>hsa-mir-5579 MI0019133 Homo sapiens miR-5579 stem-loop;58;2;4;4;6;7;
>hsa-mir-3146 MI0014172 Homo sapiens miR-3146 stem-loop;79;8;8;8;7;6;
>random_seq_from_cds__NO_33814;72;31;35;35;40;44;
>random_seq_from_cds__NO_65873;73;31;33;37;40;41;
>hsa-mir-4463 MI0016811 Homo sapiens miR-4463 stem-loop;67;7;7;9;13;16;
>random_seq_from_cds__NO_187;77;38;40;42;49;54;
>hsa-mir-5194 MI0018173 Homo sapiens miR-5194 stem-loop;120;15;15;19;21;22;
>hsa-mir-4490 MI0016852 Homo sapiens miR-4490 stem-loop;84;3;3;3;5;5;
>random_seq_from_cds__NO_30313;78;42;40;44;51;57;
>random_seq_from_cds__NO_28487;110;55;56;62;63;68;
>random_seq_from_cds__NO_10728;74;29;31;31;38;41;
>random_seq_from_cds__NO_8038;110;73;69;73;77;81;
>hsa-mir-4524a MI0016891 Homo sapiens miR-4524a stem-loop;69;4;4;4;4;4;
>random_seq_from_cds__NO_53892;68;30;31;31;32;34;
>hsa-mir-544b MI0014159 Homo sapiens miR-544b stem-loop;78;23;27;38;50;54;
>hsa-mir-380 MI0000788 Homo sapiens miR-380 stem-loop;61;4;5;5;8;10;
>random_seq_from_cds__NO_29339;86;38;42;46;50;56;
>random_seq_from_cds__NO_30795;81;51;50;51;59;61;
>hsa-mir-4722 MI0017357 Homo sapiens miR-4722 stem-loop;60;11;14;17;23;26;
>hsa-mir-4473 MI0016825 Homo sapiens miR-4473 stem-loop;91;7;7;9;10;11;
>hsa-mir-711 MI0012488 Homo sapiens miR-711 stem-loop;76;11;12;14;25;35;
>random_seq_from_cds__NO_69825;92;34;33;34;39;52;
>hsa-mir-556 MI0003562 Homo sapiens miR-556 stem-loop;95;10;10;9;12;14;
>random_seq_from_cds__NO_24919;71;28;30;33;35;41;
>hsa-mir-125b-1 MI0000446 Homo sapiens miR-125b-1 stem-loop;88;7;7;10;16;16;
>hsa-mir-675 MI0005416 Homo sapiens miR-675 stem-loop;73;4;4;4;7;12;
>random_seq_from_cds__NO_21887;78;38;35;41;41;44;
>random_seq_from_cds__NO_39173;86;47;56;60;59;64;
>hsa-mir-1245a MI0006380 Homo sapiens miR-1245a stem-loop;70;6;8;8;7;10;
>random_seq_from_cds__NO_12937;85;48;51;50;53;56;
>random_seq_from_cds__NO_41493;86;53;57;57;58;58;
>random_seq_from_cds__NO_12935;85;29;31;35;43;44;
>random_seq_from_cds__NO_27183;87;35;34;37;47;47;
>hsa-mir-4780 MI0017424 Homo sapiens miR-4780 stem-loop;81;10;10;11;13;14;
>random_seq_from_cds__NO_19558;82;47;49;46;54;60;
>hsa-mir-378a MI0000786 Homo sapiens miR-378a stem-loop;66;5;6;7;7;8;
>random_seq_from_cds__NO_64126;110;76;74;73;74;77;
>hsa-mir-3606 MI0015996 Homo sapiens miR-3606 stem-loop;63;7;8;10;12;16;
>hsa-mir-196a-1 MI0000238 Homo sapiens miR-196a-1 stem-loop;70;4;5;5;7;10;
>random_seq_from_cds__NO_69818;71;30;33;36;38;39;
>random_seq_from_cds__NO_51292;72;26;26;30;37;38;
>random_seq_from_cds__NO_21877;87;28;31;36;46;52;
>hsa-mir-6071 MI0020348 Homo sapiens miR-6071 stem-loop;78;37;41;42;46;48;
>hsa-mir-1273f MI0018002 Homo sapiens miR-1273f stem-loop;99;11;12;14;18;24;
>hsa-mir-6499 MI0022209 Homo sapiens miR-6499 stem-loop;62;18;19;21;26;31;
>hsa-mir-3909 MI0016413 Homo sapiens miR-3909 stem-loop;119;20;21;23;24;34;
>random_seq_from_cds__NO_66780;88;35;40;42;53;53;
>random_seq_from_cds__NO_69802;70;38;38;39;39;37;
>random_seq_from_cds__NO_44502;94;62;63;66;65;66;
>random_seq_from_cds__NO_63264;86;52;52;54;66;74;
>random_seq_from_cds__NO_21429;81;40;45;50;48;52;
>hsa-mir-592 MI0003604 Homo sapiens miR-592 stem-loop;97;55;57;67;65;58;
>random_seq_from_cds__NO_45831;86;42;50;49;60;61;
>hsa-mir-196a-2 MI0000279 Homo sapiens miR-196a-2 stem-loop;110;21;21;19;29;30;
>hsa-mir-4503 MI0016866 Homo sapiens miR-4503 stem-loop;83;6;6;6;13;14;
>hsa-mir-653 MI0003674 Homo sapiens miR-653 stem-loop;96;15;15;14;21;24;
>hsa-mir-6717 MI0022551 Homo sapiens miR-6717 stem-loop;73;14;16;17;16;21;
>random_seq_from_cds__NO_43659;87;27;33;36;48;64;
>hsa-mir-132 MI0000449 Homo sapiens miR-132 stem-loop;101;13;14;16;25;29;
>hsa-mir-320b-1 MI0003776 Homo sapiens miR-320b-1 stem-loop;79;8;9;10;11;15;
>random_seq_from_cds__NO_55645;102;65;66;68;68;72;
>random_seq_from_cds__NO_34701;89;35;41;42;42;44;
>hsa-mir-4799 MI0017446 Homo sapiens miR-4799 stem-loop;74;1;1;1;1;1;
>random_seq_from_cds__NO_52136;110;66;71;73;69;75;
>hsa-mir-3193 MI0014238 Homo sapiens miR-3193 stem-loop;55;8;10;10;15;16;
>hsa-mir-7-2 MI0000264 Homo sapiens miR-7-2 stem-loop;110;10;13;16;21;27;
>random_seq_from_cds__NO_12955;81;41;40;39;48;52;
>random_seq_from_cds__NO_57829;110;37;46;58;69;65;
>random_seq_from_cds__NO_68943;84;7;11;11;19;25;
>hsa-mir-4254 MI0015862 Homo sapiens miR-4254 stem-loop;76;6;6;6;11;12;
>hsa-mir-4519 MI0016885 Homo sapiens miR-4519 stem-loop;58;21;23;24;28;30;
>random_seq_from_cds__NO_43662;80;35;38;39;48;49;
>random_seq_from_cds__NO_65435;79;31;34;38;42;44;
>hsa-mir-4788 MI0017435 Homo sapiens miR-4788 stem-loop;80;2;2;2;2;3;
>hsa-mir-545 MI0003516 Homo sapiens miR-545 stem-loop;106;23;23;26;33;40;
>random_seq_from_cds__NO_51273;78;39;40;41;52;53;
>hsa-mir-3960 MI0016964 Homo sapiens miR-3960 stem-loop;91;6;11;11;15;19;
>random_seq_from_cds__NO_54304;81;47;49;50;52;51;
>hsa-mir-449a MI0001648 Homo sapiens miR-449a stem-loop;91;7;7;8;12;14;
>hsa-mir-607 MI0003620 Homo sapiens miR-607 stem-loop;96;3;4;3;3;3;
>hsa-mir-3065 MI0014228 Homo sapiens miR-3065 stem-loop;79;9;11;13;13;14;
>random_seq_from_cds__NO_12940;80;34;35;35;38;43;
>hsa-mir-219-2 MI0000740 Homo sapiens miR-219-2 stem-loop;97;17;17;18;24;23;
>hsa-mir-2861 MI0013006 Homo sapiens miR-2861 stem-loop;90;16;17;17;18;24;
>hsa-mir-3923 MI0016430 Homo sapiens miR-3923 stem-loop;83;3;3;3;3;4;
>hsa-mir-6090 MI0020367 Homo sapiens miR-6090 stem-loop;60;7;12;15;25;27;
>hsa-mir-4449 MI0016792 Homo sapiens miR-4449 stem-loop;66;4;7;8;14;18;
>hsa-mir-671 MI0003760 Homo sapiens miR-671 stem-loop;118;12;12;12;19;23;
>hsa-mir-3529 MI0017351 Homo sapiens miR-3529 stem-loop;78;7;8;8;14;15;
>hsa-mir-5692a-2 MI0019298 Homo sapiens miR-5692a-2 stem-loop;59;5;4;5;7;18;
>random_seq_from_cds__NO_68093;85;49;50;51;52;52;
>random_seq_from_cds__NO_51667;99;66;65;67;71;68;
>hsa-mir-4803 MI0017451 Homo sapiens miR-4803 stem-loop;74;3;4;4;4;4;
>hsa-mir-4437 MI0016778 Homo sapiens miR-4437 stem-loop;60;1;1;1;4;4;
>random_seq_from_cds__NO_12047;84;45;54;60;62;69;
>hsa-mir-1233-2 MI0015973 Homo sapiens miR-1233-2 stem-loop;82;16;17;22;22;27;
>random_seq_from_cds__NO_48019;79;34;32;33;41;48;
>hsa-mir-10a MI0000266 Homo sapiens miR-10a stem-loop;110;17;20;23;38;42;
>random_seq_from_cds__NO_59136;80;42;45;49;57;59;
>random_seq_from_cds__NO_1023;71;31;29;32;31;33;
>hsa-mir-4419b MI0016861 Homo sapiens miR-4419b stem-loop;68;21;24;27;34;38;
>random_seq_from_cds__NO_2360;87;23;27;27;47;54;
>hsa-mir-372 MI0000780 Homo sapiens miR-372 stem-loop;67;11;13;17;23;26;
>random_seq_from_cds__NO_28866;87;36;36;49;55;57;
>hsa-mir-499a MI0003183 Homo sapiens miR-499a stem-loop;122;4;5;8;8;8;
>random_seq_from_cds__NO_52985;72;36;34;35;29;31;
>hsa-mir-5010 MI0017878 Homo sapiens miR-5010 stem-loop;120;18;21;24;24;26;
>random_seq_from_cds__NO_16409;110;50;58;67;69;78;
>random_seq_from_cds__NO_51656;87;37;39;39;45;51;
>hsa-mir-190a MI0000486 Homo sapiens miR-190a stem-loop;85;6;6;8;15;18;
>random_seq_from_cds__NO_17738;87;47;47;52;49;54;
>hsa-mir-3927 MI0016435 Homo sapiens miR-3927 stem-loop;71;3;4;4;4;5;
>random_seq_from_cds__NO_41830;77;40;42;44;45;47;
>random_seq_from_cds__NO_12073;70;37;40;40;38;38;
>hsa-mir-3171 MI0014202 Homo sapiens miR-3171 stem-loop;74;13;13;15;20;20;
>hsa-mir-1301 MI0003815 Homo sapiens miR-1301 stem-loop;82;7;8;9;12;14;
